mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.5,0.08,0.9,26,0.24,0.08134386369349604,0.053360790533797525
0.5,0.1,0.7,26,0.46,0.1022177699751229,0.05337486741248603
0.5,0.1,0.9,26,0.42,0.09380473525657348,0.05421601334609199
0.5,0.12,0.5,26,0.52,0.11227490038556213,0.05369159825980059
0.5,0.12,0.7,26,0.38,0.09596614623121975,0.054999550907822964
0.5,0.12,0.9,26,0.52,0.11247585955710956,0.053440463038221794
0.5,0.15,0.5,26,0.68,0.14416762926615867,0.05320204929678367
0.5,0.15,0.9,26,0.76,0.14260414805782454,0.054157717582104394
0.5,0.15,0.7,26,0.8,0.1553448755492873,0.053871717432060186
0.5,0.2,0.5,26,0.88,0.17736492996382702,0.05367810162930905
0.5,0.2,0.7,26,0.94,0.1905423765776707,0.053981561352259205
0.5,0.2,0.9,26,0.88,0.1822374286252963,0.05376984264961445
0.5,0.25,0.5,26,0.94,0.22089724225937463,0.055347704276703796
0.5,0.25,0.7,26,1.0,0.21706231644172824,0.054582622588893306
0.5,0.25,0.9,26,1.0,0.233850018037518,0.055063063983768853
0.5,0.3,0.5,26,1.0,0.26191819083694085,0.05568884186859047
0.5,0.3,0.7,26,1.0,0.2694930689816719,0.05592562030019492
0.5,0.3,0.9,26,1.0,0.2477838370779547,0.05673260098900039
0.5,0.4,0.5,26,1.0,0.31491036157469987,0.058690187288850115
0.5,0.4,0.7,26,1.0,0.31920343043394517,0.05786987179825572
0.5,0.4,0.9,26,1.0,0.32276053011530953,0.059482938942825365
0.6,0.02,0.5,26,0.02,0.01150731249959191,0.055731789396109586
0.6,0.02,0.7,26,0.02,0.01823109774212715,0.05439104257311812
0.6,0.05,0.5,26,0.18,0.05507030510339333,0.05460904436599768
0.6,0.02,0.9,26,0.16,0.02406545048089166,0.054723091756161184
0.6,0.05,0.7,26,0.14,0.03644537068323833,0.0540473091443017
0.6,0.05,0.9,26,0.16,0.05235250819441996,0.05376360693507981
0.6,0.08,0.5,26,0.28,0.08116855448473097,0.05437183257863285
0.6,0.08,0.7,26,0.22,0.07181877268972857,0.05465809363167352
0.6,0.08,0.9,26,0.4,0.09421681892453952,0.0543600777395331
0.6,0.1,0.5,26,0.52,0.10718091165370577,0.05388341920166737
0.6,0.1,0.7,26,0.42,0.09653733631564515,0.05212240560284655
0.6,0.1,0.9,26,0.3,0.09607061614855733,0.05382590483178285
0.6,0.12,0.5,26,0.48,0.11425042355520297,0.05366639380288918
0.6,0.12,0.7,26,0.62,0.1129026899979106,0.05333670266336284
0.6,0.12,0.9,26,0.64,0.12883872059313237,0.05320704741929645
0.6,0.15,0.5,26,0.76,0.14674105836973486,0.054972882774151584
0.6,0.15,0.7,26,0.78,0.14858433184462594,0.05465142538525882
0.6,0.15,0.9,26,0.78,0.13930462319543202,0.05361230812264975
0.6,0.2,0.5,26,0.92,0.1833935928042546,0.054556744505102756
0.6,0.2,0.7,26,0.96,0.18929702042238805,0.05263668739274995
0.6,0.2,0.9,26,0.84,0.18687397165742756,0.05694595505117446
0.6,0.25,0.5,26,0.96,0.2130585083217436,0.05468803351955749
0.6,0.25,0.7,26,0.96,0.22778873014240664,0.05561219292563553
0.6,0.25,0.9,26,1.0,0.22226967844247253,0.05329370943517203
0.6,0.3,0.5,26,1.0,0.26388078971681916,0.05525570613965274
0.6,0.3,0.7,26,1.0,0.262483180626563,0.057083914878621606
0.6,0.3,0.9,26,1.0,0.2551232470144235,0.056109671098258936
0.6,0.4,0.5,26,1.0,0.3138002385278121,0.058932697043003836
0.6,0.4,0.7,26,1.0,0.30308751624192803,0.059685358501422064
0.6,0.4,0.9,26,1.0,0.2989076234223293,0.05740243483996926
0.7,0.02,0.5,26,0.08,0.020047510455231045,0.05251311064568973
0.7,0.02,0.7,26,0.14,0.02196498428042546,0.05382419586354012
0.7,0.02,0.9,26,0.06,0.02694638221255868,0.05320171668418754
0.7,0.05,0.5,26,0.22,0.05574157472429531,0.05341242449661092
0.7,0.05,0.7,26,0.12,0.05538450764921352,0.05424830899077175
0.7,0.05,0.9,26,0.18,0.0489510206296971,0.05463573708477552
0.7,0.08,0.5,26,0.3,0.07648099841335135,0.05308142843236314
0.7,0.08,0.7,26,0.14,0.0623643455808897,0.05260676645121973
0.7,0.08,0.9,26,0.28,0.08208340274921158,0.05218682139780742
0.7,0.1,0.5,26,0.4,0.08894996935254289,0.05350848069885708
0.7,0.1,0.7,26,0.46,0.10594771519330343,0.054338192677281294
0.7,0.1,0.9,26,0.38,0.08805368328566857,0.05372393654038423
0.7,0.12,0.5,26,0.56,0.1244231112841407,0.05360155452573251
0.7,0.12,0.7,26,0.62,0.12066007713691537,0.05329765763746928
0.7,0.12,0.9,26,0.5,0.10492414562561622,0.05325251722419643
0.7,0.15,0.5,26,0.7,0.15050626358935182,0.05389729317868846
0.7,0.15,0.7,26,0.82,0.1453453813343519,0.05481507174263509
0.7,0.15,0.9,26,0.74,0.14156699819788054,0.05135197612954631
0.7,0.2,0.5,26,0.92,0.17321390480434598,0.053350014910615584
0.7,0.2,0.7,26,0.9,0.17602923183842298,0.05227204340374365
0.7,0.2,0.9,26,0.94,0.18516783939100112,0.05473532031840123
0.7,0.25,0.5,26,0.98,0.19554918782198197,0.05407090589406705
0.7,0.25,0.7,26,0.98,0.2171865196078432,0.055771228680220074
0.7,0.25,0.9,26,0.98,0.21419764610389613,0.05545073139151711
0.7,0.3,0.5,26,1.0,0.24775615740468682,0.05644548496936338
0.7,0.3,0.7,26,0.98,0.22791145814969344,0.054623529158187384
0.7,0.3,0.9,26,0.98,0.2327345758816347,0.05618189208862013
0.7,0.4,0.5,26,1.0,0.29863155504626093,0.059560498696964996
0.7,0.4,0.7,26,1.0,0.2962274326572121,0.05723638159102558
0.7,0.4,0.9,26,1.0,0.2930631703264056,0.05960308344849283
